"ID","Titulo","Ano","RandomForest","SVM","NeuralNetwork","KNN","DecisionTree","GradientBoosting","NIR","FTIR","GCMS","LCMS","ICPMS","NMR","Sensor","Wine","Coffee","Olive","Honey","Cheese","Authentication","Classification","OriginDetection","Europe","Asia","Americas","Cluster_KMeans","Cluster_Hierarquico"
64,"Class-modelling of overlapping classes. A two-step authentication approach",2022,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,4
65,"A machine learning method for the fine-grained classification of green tea with geographical indication using a mos-based electronic nose",2021,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,4,4
66,"Hyperspectral imaging combined with convolutional neural network for Pu'er ripe tea origin recognition",2025,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4
67,"Raman spectroscopy combined with machine learning algorithms to detect adulterated Suichang native honey",2022,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,2,4
68,"Terroir and vintage discrimination of Malbec wines based on phenolic composition across multiple sites in Mendoza, Argentina",2021,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4
69,"The Impact of Brand Effect on Consumer Preference of Imported Agricultural Products Driven by Big Data Mining - The Case of BenJaRong",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
70,"Smart Sensors and Artificial Intelligence Driven Alert System for Optimizing Red Peppers Drying in Southern Italy",2025,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4,4
71,"Classification of Spanish red wines using artificial neural networks with enological parameters and mineral content",2018,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4
72,"What Determinants Will Enhance or Constrain the Spatiality of Agricultural Products with Geographical Indications in Northeast China? An Interpretable Learning Approach",2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
73,"Rapid analysis of geographical origins and age of Torreya grandis seeds by NIR spectroscopy and pattern recognition methods",2013,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
74,"Integrated Metabolomics-KPCA-Machine Learning framework: a solution for geographical traceability of Chinese Jujube",2025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4
75,"The combination of HSI and NMR techniques with deep learning for identification of geographical origin and GI markers of Lycium barbarum L.",2024,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4
76,"Application of Linear Discriminant Analysis and k-Nearest Neighbors Techniques to Recommendation Systems",2024,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3
77,"Geographical Indications for Fruits Quality and their Potential for Rural Development using Machine Learning",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4
78,"AN ANALYSIS OF THE FACTORS AFFECTING THE CONSUMPTION OF GEOGRAPHICALLY INDICATED PRODUCTS USING DECISION TREE AND ARTIFICIAL NEURAL NETWORKS",2022,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
79,"Extraction and classification of origin characteristic peaks from rice Raman spectra by principal component analysis",2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
80,"Geographical traceability and multielement analysis of edible and medicinal fungi: Taking Wolfiporia cocos (F.A. Wolf) Ryvarden and Gilb. as an example",2021,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,5
81,"Elementomics combined with DD-SIMCA and K-NN to identify the geographical origin of rice samples from China, India, and Vietnam",2022,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,8,3
82,"Classification of slovak juniper-flavoured spirit drinks",2015,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3
83,"Rapid determination of geographical authenticity of Gastrodia elata f. glauca using Fourier transform infrared spectroscopy and deep learning",2025,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,5
84,"Geographical origin identification of camellia oil based on fatty acid profiles combined with one-class classification",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,2,4
85,"Distinguishing pericarpium citri reticulatae of different origins using terahertz time-domain spectroscopy combined with convolutional neural networks",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
86,"Determination of Saffron Flower Metabolites by Near-Infrared Spectroscopy for Quality Control",2024,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,4
87,"Detection of Ripening stage of Banganapalle Mango using KNN method on PCA-reduced EIS Data",2023,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3
88,"Quantitative Analysis of Protein and Polysaccharide in Lilium Lanzhou Based on Near Infrared Spectroscopy",2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
89,"Agricultural Geographical Indication Brand Management Based on Bi-GRU+CRF Technology and Information Extraction",2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
90,"Distinguishing tea stalks of Wuyuan green tea using hyperspectral imaging analysis and convolutional neural network",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
91,"Impacts of Geographical Indications on Agricultural Growth and Farmers’ Income in Rural China",2024,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
92,"Application of Information System and Computer Internet Technology in Integration of Geographical Indication Agricultural Products",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
93,"Enhanced understanding of dark tea quality through integrated GC-IMS and E-Nose analysis",2025,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,4
94,"Political favouritism and inefficient management: Policy-makers’ birth town bias in EU quality certifications",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7
95,"Rapid determination of Panax notoginseng origin by terahertz spectroscopy combined with the machine learning method",2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
96,"AuthentiQ Market Space: Leveraging Smart City Technologies for Authentic E-commerce System of Geographical Indication Products",2024,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,4,4
97,"Genetic characterization of the local pirenaica cattle for parentage and traceability purposes",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7
98,"Metabolomics as a tool for geographic origin assessment of roasted and green coffee beans",2023,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,6,8
99,"Discrimination of the geographical origin of rice by Belousov-Zhabotinski oscillation fingerprint - Discrimination of the geographical origin of rice",2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
100,"Key determinants of purchase intentions for geographical indication agricultural products: A hybrid PLS-SEM and ANN approach",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
101,"Comparison of appearance quality, cooking quality, and nutritional quality of geographical indication rice and their application in geographical indication discrimination",2024,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,4
102,"A mobile framework for geographical indication web services",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,4
103,"Are the Adivasi Rice Growers of Sub-Himalayan North Bengal Efficient Enough? Role of Machine Learning in Farm Business After COVID-19",2024,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
104,"Application of hyperspectral imaging assisted with integrated deep learning approaches in identifying geographical origins and predicting nutrient contents of Coix seeds",2023,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
105,"Geographical Indication Characteristics of Aroma and Phenolic Acids of the Changping Strawberry",2023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4
106,"An efficient architecture of decision support system for testing potential Geographical Indication in India",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,4
107,"Meritocracy of Intellectual Property Within the Bandwidth of Equality; Calibrating the Engine of Creativity, Commerce and Innovation",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
108,"Spectroscopy (MIR), chromatography (RP-HPLC) and chemometrics applied to soluble peptides to discriminate the geographic origin of coalho cheese",2023,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,1,5,1
109,"OSADHI – An online structural and analytics based database for herbs of India",2023,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
110,"Study on cyclic voltammetric electrochemical fingerprint method for origin traceability of rice",2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
111,"Artificial intelligence as object of intellectual property in Indonesian law",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
112,"Hyperspectral reflectance as a basis to discriminate olive varieties-A tool for sustainable crop management",2020,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,7,2
113,"Algorithms for lineaments detection in processing of multispectral images",2014,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
114,"Management of scientific and ancestral knowledge: a decision-making model in mezcal industry in Mexico",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
115,"Decision Making for Knowledge Management in the Tequila Sector: A Fuzzy Logic Model",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
116,"Price Prediction of Pu’er tea based on ARIMA and BP Models",2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4
117,"Knowledge and innovation management model in the mezcal industry in Mexico",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
118,"Fishing for data and sorting the catch: Assessing the data quality, completeness and fitness for use of data in marine biogeographic databases",2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7
119,"Instrumental measurement of wine sensory descriptors using a voltammetric electronic tongue",2015,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,4
120,"Class-modelling techniques that optimize the probabilities of false noncompliance and false compliance",2010,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,4
121,"Vinegar metabolomics: An explorative study of commercial balsamic vinegars using gas chromatography-mass spectrometry",2016,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4
122,"Accurate origin identification of Chinese white Chrysanthemi Flos by analysis of C, N, O, H stable isotope ratios and mineral elements combined with chemometrics",2023,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,4
123,"Detection And Identification of Ethnic Attires Using Deep Learning And GI Tags",2025,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4
124,"J. Agric. Food Chem.",2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
125,"Food Chem.",2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
126,"Food Chem.",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
127,"Eur. Food Res. Technol.",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
128,"Food Policy",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
129,NA,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
130,"Food Control",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
131,"Foods",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
132,"Food Control",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
133,"Food Anal. Methods.",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
134,"Food Chem.",2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
135,NA,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
136,"Separations",2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
137,NA,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
138,"Plant Cell Environ.",2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
139,NA,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
140,NA,2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
141,NA,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
142,NA,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
143,"Food BioSci.",2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
144,"J. Food Compos. Anal.",2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
145,NA,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
146,"Meat Authentication Based on Animal Species and Other Quality Meat Attributes (Protected Geographical Indication, Organic Production, and Halal and Kosher Products) by HPLC–UV Fingerprinting and Chemometrics",2025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4
147,"Foods",2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
148,"Anal. Chim. Acta",2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
